match_id,score_gap,xp_gap,gold_adv,dmg_diff,heal_diff,kda_diff,wards_diff
4978884253,4,51322.87272727273,38364.61818181818,5852,-28,37,1.0
4978802370,2,-51814.8724137931,49459.362068965514,26613,-311,8,0.0
4972914135,-14,-263556.70526315784,-153411.14736842105,-20403,-3723,-19,0.0
4971602368,-14,-291778.3400000001,-331499.135,-35181,3140,-13,0.0
4971185236,23,63787.042105263165,69062.66315789474,24842,2690,70,1.0
4969238891,-7,-171385.13902439026,-87070.20487804878,-36695,2524,-11,-1.0
4967897880,16,50488.62272727273,47257.30454545454,7448,317,49,2.0
4972913573,14,125367.45652173914,149710.81739130436,13151,1913,32,1.0
4969495247,20,182806.9935483871,81234.02580645161,28010,149,47,2.0
4971001716,21,242061.89756097563,99558.43658536585,39501,-5404,42,1.0
4969357844,29,322203.8307692308,99715.76923076922,47394,1649,29,0.0
4980183695,-8,-152899.7525,-252580.57249999998,874,1205,-9,1.0
4977648828,-15,57518.95,-255309.94999999995,-4633,-2075,-14,0.0
4969674124,-9,-196857.32749999998,42218.5125,-25058,1654,-21,-1.0
4969839520,14,105226.05384615384,131351.63076923077,36543,-547,26,2.0
4968053464,14,50222.33157894737,20107.963157894737,11118,4882,20,1.0
4980430921,-11,-60448.273913043486,46479.793478260865,-9359,-1142,-13,1.0
4973059153,-20,-187894.5648648649,-180177.05135135137,-49568,1252,-30,1.0
4980333085,8,34617.062264150925,348958.7943396226,2132,2528,5,2.0
4969288250,-12,-154637.39615384617,-151207.54230769235,-56344,5510,-15,-2.0
4971219200,11,348819.06034482754,399390.44482758624,27538,5634,23,2.0
4968280282,-16,-137114.14285714287,-48673.96571428571,-17881,944,-36,0.0
4968187584,-18,-669004.7736842105,-809297.0263157894,-15559,-9149,-19,0.0
4969348313,-17,-28682.752173913042,-49045.126086956516,-20576,-8901,-66,0.0
4985787596,2,-118945.06949152544,-55937.08983050847,46863,-172,12,-1.0
4967878474,-19,-317402.3714285714,-247837.6612244898,-5454,-9973,-18,-1.0
4969748381,-15,-82540.625,-143390.175,-10123,-2808,-23,-1.0
4969405883,-5,-108507.13658536586,70138.76341463414,-5792,-20836,-11,-1.0
4967956396,-4,-89347.465,-108500.54000000001,-4830,-12976,-14,0.0
