score_gap,xp_gap,gold_adv,total_dmg,total_heal,total_kda,total_wards,total_score,match_id,team_tag,region,team_slot
-0.0383447252729504,0.022738649022761955,0.058410928301943915,0.037779325593797354,0.02013017566878452,0.016317324556671974,0.04980310818618876,0.1668347860571981,4978701632,Secret,Europe,radiant
0.0383447252729504,-0.022738649022761955,-0.058410928301943915,0.04105870192698045,0.02285010575914872,0.05303130480918391,0.05242432440651448,0.1265595848500721,4978701632,EG,North America,dire
-0.0191723626364752,-0.029469325672423375,-0.022611545626409563,0.059412589978311274,0.009735195323432247,0.020396655695839965,0.05242432440651448,0.07071553146878984,4969568760,Liquid,Europe,radiant
0.0191723626364752,0.029469325672423375,0.022611545626409563,0.05281692220441658,0.05916521196564494,0.050991639239599915,0.05504554062684021,0.2892725479718098,4969568760,PSG.LGD,China,dire
-0.0575170879094256,-0.0788638535806446,-0.05899934717392641,0.02872703326684121,0.006631512720318647,0.0020396655695839967,0.04193945952521159,-0.11604261758204118,4968466397,TNC,Southeast Asia,radiant
0.0575170879094256,0.0788638535806446,0.05899934717392641,0.04378232890161794,0.0,0.08974528506169585,0.04193945952521159,0.370847362152522,4968466397,PSG.LGD,China,dire
-0.08627563186413839,-0.051505244955167916,-0.06964727202520038,0.04681240183738249,0.023227125771674448,0.010198327847919983,0.04980310818618876,-0.07738718520134101,4967721543,Na`Vi,CIS,radiant
0.08627563186413839,0.051505244955167916,0.06964727202520038,0.07067169777450581,0.019753155656258792,0.05507097037876791,0.04718189196586303,0.4001058646199022,4967721543,OG,Europe,dire
-0.012781575090983465,-0.054433821200357155,-0.03034631815951801,0.06545756525770537,0.012589775418269918,0.026515652404591954,0.07339405416912027,0.08039533279882889,4977018128,TNC,Southeast Asia,radiant
0.012781575090983465,0.054433821200357155,0.03034631815951801,0.07044312751967177,0.022863570759596066,0.042832976961263924,0.076015270389446,0.30971666008083637,4977018128,VG,China,dire
-0.07029866300040906,-0.051046657816059854,-0.0771245406107195,0.028760914255942717,0.016824518058960708,0.004079331139167993,0.04718189196586303,-0.10162320600725397,4985891168,PSG.LGD,China,radiant
0.07029866300040906,0.051046657816059854,0.0771245406107195,0.041043531334845444,0.032423721077212794,0.08362628835294386,0.04456067574553731,0.4001240779377278,4985891168,Liquid,Europe,dire
-0.0095861813182376,-0.027837207334587433,-0.16384979911179848,0.06603708187726248,0.0035345626174287203,0.024475986835007957,0.07077283794879455,-0.0364527184861298,4969186537,Fnatic,Southeast Asia,radiant
0.0095861813182376,0.027837207334587433,0.16384979911179848,0.06911974619909504,0.04112211136619928,0.03263464911334395,0.07339405416912027,0.417543748612382,4969186537,NiP,Europe,dire
0.0383447252729504,0.008391705973336097,0.00844090271199368,0.02122820957450935,0.003467237615191983,0.08974528506169585,0.02621216220325724,0.19583022841293457,4967652141,Secret,Europe,radiant
-0.0383447252729504,-0.008391705973336097,-0.00844090271199368,0.013921041029483026,0.0023563750782858136,0.008158662278335987,0.023590945982931516,-0.007150309589243831,4967652141,Alliance,Europe,dire
-0.04473551281844213,-0.013550222864749011,-0.0088903038211784,0.03538692321410742,0.0026930000894695013,0.010198327847919983,0.04193945952521159,0.023041671172338955,4971031352,Infamous,South America,radiant
0.04473551281844213,0.013550222864749011,0.0088903038211784,0.03784203070795537,0.054957399325848845,0.06730896379627188,0.04456067574553731,0.27184510907998294,4971031352,EG,North America,dire
0.0575170879094256,-0.007297753074380348,0.0207005560772629,0.04107286114630645,0.0815171127082418,0.07342796050502387,0.03931824330488586,0.3062560685767661,4972958554,NiP,Europe,radiant
-0.0575170879094256,0.007297753074380348,-0.0207005560772629,0.03468149067982979,0.004928190163729187,0.008158662278335987,0.03407581086423441,0.01092426307382122,4972958554,Infamous,South America,dire
-0.07029866300040906,-0.015414746701708134,-0.021912809973947327,0.011902846589123158,0.012219487905967863,0.0020396655695839967,0.02621216220325724,-0.05525205740813226,4971088106,VP,CIS,radiant
0.07029866300040906,0.015414746701708134,0.021912809973947327,0.03163068460148074,0.026149030868748858,0.07342796050502387,0.02621216220325724,0.26504605785457525,4971088106,OG,Europe,dire
0.006390787545491733,0.030769544692856976,0.06557858289129088,0.04806802117975622,0.0453501215066664,0.03263464911334395,0.057666756847165934,0.2864584637765721,4969641209,Mineski,Southeast Asia,radiant
-0.006390787545491733,-0.030769544692856976,-0.06557858289129088,0.05138077281563632,0.010933580363246174,0.018356990126255968,0.05504554062684021,0.03297796880233908,4969641209,CHAOS,Europe,dire
-0.03514933150020453,-0.04756828727553743,0.01553205317772004,0.06578676710703493,0.0,0.022436321265423963,0.06553040550814311,0.08656792828258009,4967893095,Secret,Europe,radiant
0.03514933150020453,0.04756828727553743,-0.01553205317772004,0.08225950173362542,0.052048959229221786,0.050991639239599915,0.06553040550814311,0.31801607130861215,4967893095,Newbee,North America,dire
-0.02556315018196693,-0.016386435591325525,-0.015261031192459931,0.036695639628953655,0.008456020280934234,0.014277658987087976,0.03145459464390869,0.03367329657513217,4973073617,Secret,Europe,radiant
0.02556315018196693,0.016386435591325525,0.015261031192459931,0.05527101832545552,0.011162485370851082,0.036713980252511935,0.03407581086423441,0.19443391177880534,4973073617,CHAOS,Europe,dire
0.04473551281844213,0.043955073965066004,0.03546573550029047,0.05869097547908964,0.05218360923369526,0.048951973670015914,0.05504554062684021,0.33902842129343963,4971301802,Alliance,Europe,radiant
-0.04473551281844213,-0.043955073965066004,-0.03546573550029047,0.04944854506404147,0.04924150663594983,0.016317324556671974,0.05504554062684021,0.04589659459970488,4971301802,Liquid,Europe,dire
