match_id,team_tag,region,team_slot,score_gap_scaled,xp_gap_scaled,gold_adv_scaled,total_dmg_scaled,total_heal_scaled,total_kda_scaled,total_wards_scaled,total_score
4967897880,CHAOS,Europe,dire,0.257575758,0.462265873,0.470803486,0.138961671,0.006263637,0,0.225,1.560870424
4967956396,RNG,China,radiant,0.439393939,0.433223597,0.432966181,0.259314595,0.03299225,0.083333333,0.45,2.131223896
4967956396,VP,CIS,dire,0.560606061,0.566776403,0.567033819,0.277265514,0.277067188,0.277777778,0.45,2.976526762
4967962327,Mineski,Southeast Asia,radiant,0.787878788,0.651319184,0.692836663,0.331857864,0.180855466,0.569444444,0.525,3.73919241
4967962327,TNC,Southeast Asia,dire,0.212121212,0.348680816,0.307163337,0.20721233,0.08962832,0.027777778,0.55,1.742583793
4967969353,Infamous,South America,radiant,0.181818182,0.387179566,0.393807154,0.233711306,0.007824844,0.055555556,0.4,1.659896607
4967969353,OG,Europe,dire,0.818181818,0.612820434,0.606192846,0.378652901,0,0.375,0.4,3.190847999
4967996576,Newbee,North America,radiant,0.318181818,0.571240311,0.6333878,0.456830455,0.309908961,0.166666667,0.625,3.081216012
4967996576,Secret,Europe,dire,0.681818182,0.428759689,0.3666122,0.44656907,0.204536905,0.347222222,0.6,3.075518267
4968049919,Na`Vi,CIS,radiant,0.621212121,0.508191332,0.596690733,0.456020248,0.333289444,0.388888889,0.55,3.454292767
4968049919,EG,North America,dire,0.378787879,0.491808668,0.403309267,0.477717446,0.012226319,0.138888889,0.5,2.402738467
4968051649,VP,CIS,radiant,0.272727273,0.436680978,0.43301511,0.287920852,0.264652773,0.097222222,0.525,2.317219208
4968051649,RNG,China,dire,0.727272727,0.563319022,0.56698489,0.369718323,0.053701753,0.361111111,0.5,3.142107826
4968053464,OG,Europe,radiant,0.712121212,0.537535107,0.512423105,0.214069358,0.112425702,0.347222222,0.25,2.685796706
4968053464,Infamous,South America,dire,0.287878788,0.462464893,0.487576895,0.172748795,0.020596644,0.069444444,0.225,1.72571046
4968097430,VG,China,radiant,0.909090909,0.655245473,0.60033165,0.335682191,0.037356106,0.5,0.4,3.437706329
4968097430,Fnatic,Southeast Asia,dire,0.090909091,0.344754527,0.39966835,0.209460841,0.05797156,0.055555556,0.375,1.533319923
4968129116,CHAOS,Europe,radiant,0.439393939,0.370575737,0.318842515,0.690530611,0.020653074,0.194444444,0.675,2.70944032
4968129116,Alliance,Europe,dire,0.560606061,0.629424263,0.681157485,0.615307711,0.106256113,0.208333333,0.7,3.501084967
4968140678,NiP,Europe,radiant,0.5,0.5,0.502161992,0,0,0,0,1.502161992
4968140678,Fnatic,Southeast Asia,dire,0.5,0.5,0.497838008,0,0,0,0,1.497838008
4968150000,EG,North America,radiant,0.681818182,0.605848763,0.62274766,0.656561377,0.083966594,0.263888889,0.925,3.839831464
4968150000,Na`Vi,CIS,dire,0.318181818,0.394151237,0.37725234,0.662526434,0.110695207,0.138888889,0.95,2.951695926
4968169805,Secret,Europe,radiant,0.787878788,0.576756492,0.570513136,0.265383715,0.083026108,0.555555556,0.275,3.114113794
4968169805,Liquid,Europe,dire,0.212121212,0.423243508,0.429486864,0.220889221,0.074448875,0.013888889,0.25,1.624078569
4968187584,Fnatic,Southeast Asia,radiant,0.227272727,0,0,0.50500433,0.01551802,0.125,0.675,1.547795077
4968187584,VG,China,dire,0.772727273,1,1,0.562830076,0.187608156,0.388888889,0.675,4.587054393
4968242416,Liquid,Europe,radiant,0.212121212,0.425356262,0.484892327,0.168511932,0.06000301,0.041666667,0.35,1.742551409
4968242416,Secret,Europe,dire,0.787878788,0.574643738,0.515107673,0.30932816,0,0.486111111,0.35,3.02306947
4968280282,CHAOS,Europe,radiant,0.257575758,0.397523793,0.469928244,0.166895234,0.058084418,0.041666667,0.4,1.791674114
4968280282,Alliance,Europe,dire,0.742424242,0.602476207,0.530071756,0.233350801,0.040328042,0.541666667,0.4,3.090317715
4968324806,TNC,Southeast Asia,radiant,0.96969697,0.816520798,0.544647954,0.516956743,0.226262132,0.930555556,0.575,4.579640153
4968324806,PSG.LGD,China,dire,0.03030303,0.183479202,0.455352046,0.331114555,0.27490407,0.013888889,0.575,1.864041793
4968350012,Mineski,Southeast Asia,radiant,0.181818182,0.465927131,0.452892465,0.202499749,0.017154465,0.069444444,0.3,1.689736437
4968350012,KG,China,dire,0.818181818,0.534072869,0.547107535,0.225468006,0.097547212,0.430555556,0.275,2.927932996
4968447861,KG,China,radiant,0.666666667,0.60728154,0.555096829,0.253535365,0.161763599,0.402777778,0.425,3.072121778
4968447861,Mineski,Southeast Asia,dire,0.333333333,0.39271846,0.444903171,0.311498623,0.03570085,0.125,0.425,2.068154437
4968466397,TNC,Southeast Asia,radiant,0.227272727,0.276651641,0.365986938,0.21112957,0.018527575,0.013888889,0.4,1.51345734
4968466397,PSG.LGD,China,dire,0.772727273,0.723348359,0.634013062,0.32177859,0,0.611111111,0.4,3.462978396
